Brand,Model,Fuel_Type,Mileage
Toyota,Innova,CNG,27.3
Kia,EV6,Diesel,16.4
Maruti Suzuki,Dzire,Petrol,17.6
Honda,Amaze,Petrol,19.2
Honda,City,Electric,15.8
Kia,Sonet,Petrol,21.5
Toyota,Glanza,CNG,29.7
Volkswagen,Taigun,CNG,20.2
Renault,Lodgy,Petrol,10.5
Kia,EV6,CNG,16.1
Honda,Jazz,CNG,17.2
Honda,Civic,Petrol,10.8
Renault,Kiger,Petrol,29.6
Honda,Jazz,CNG,25.3
Mahindra,Scorpio,Diesel,11.1
Tata Motors,Punch,Diesel,19.2
Toyota,Fortuner,CNG,14.9
Skoda,Kushaq,Petrol,21.8
Tata Motors,Tiago,CNG,13.5
Skoda,Superb,CNG,26.9
Honda,Jazz,Diesel,24.8
Toyota,Fortuner,Diesel,29.7
Toyota,Camry,Electric,12.2
Mahindra,XUV700,Electric,21.3
Toyota,Glanza,Electric,16.5
Tata Motors,Punch,Petrol,29.2
Maruti Suzuki,Ertiga,Electric,15.6
Mahindra,XUV700,Electric,13.8
Tata Motors,Altroz,Electric,21.4
Renault,Kiger,Electric,22.5
Tata Motors,Harrier,Diesel,13.9
Kia,Carnival,Diesel,10.1
Toyota,Innova,CNG,25.0
Honda,Amaze,CNG,29.4
Volkswagen,Polo,CNG,28.8
Maruti Suzuki,Swift,Diesel,11.9
Kia,EV6,CNG,16.0
Hyundai,Verna,Diesel,23.0
Skoda,Slavia,Diesel,10.7
Toyota,Glanza,Diesel,14.5
Tata Motors,Harrier,Diesel,25.9
Tata Motors,Harrier,Diesel,16.8
Tata Motors,Nexon,CNG,19.9
Tata Motors,Punch,CNG,12.9
Mahindra,Scorpio,CNG,25.9
Maruti Suzuki,Dzire,CNG,27.6
Honda,Civic,Diesel,23.3
Honda,Amaze,Petrol,20.7
Volkswagen,Virtus,Diesel,14.0
Volkswagen,Tiguan,Petrol,18.7
Skoda,Octavia,CNG,13.5
Kia,Seltos,Electric,12.6
Mahindra,Bolero,Petrol,22.0
Kia,Carnival,Diesel,21.0
Skoda,Kushaq,Electric,22.9
Toyota,Innova,Electric,24.0
Toyota,Innova,Electric,24.7
Mahindra,Thar,Electric,25.1
Skoda,Slavia,Diesel,11.6
Toyota,Camry,Diesel,26.5
Hyundai,i10,Petrol,17.2
Tata Motors,Nexon,Diesel,11.1
Mahindra,Scorpio,CNG,29.5
Kia,Carnival,Electric,12.8
Tata Motors,Nexon,Petrol,13.0
Kia,Sonet,Diesel,25.2
Skoda,Superb,Diesel,22.6
Kia,Sonet,Diesel,11.4
Hyundai,Venue,Electric,24.1
Skoda,Rapid,Electric,15.8
Toyota,Glanza,Diesel,27.1
Hyundai,Creta,Electric,23.0
Honda,WR-V,Electric,25.7
Mahindra,Thar,Diesel,26.2
Toyota,Glanza,Diesel,10.2
Mahindra,XUV300,Petrol,13.0
Tata Motors,Punch,Petrol,17.3
Hyundai,i20,Diesel,15.5
Honda,Civic,Diesel,27.6
Tata Motors,Altroz,CNG,19.9
Skoda,Octavia,Diesel,28.7
Volkswagen,Taigun,Diesel,14.3
Maruti Suzuki,Swift,Petrol,12.0
Toyota,Urban Cruiser,Diesel,15.3
Skoda,Kushaq,Electric,27.6
Kia,Carnival,Petrol,19.7
Kia,EV6,Diesel,11.9
Renault,Lodgy,CNG,26.4
Toyota,Fortuner,CNG,29.3
Hyundai,i20,Petrol,10.5
Volkswagen,Vento,Electric,13.6
Hyundai,i20,Diesel,22.6
Volkswagen,Taigun,CNG,24.1
